,Cost,OG_idx,EnvironmentSatisfaction,JobLevel,StockOptionLevel,PercentSalaryHike,WorkLifeBalance
2,28.571428571428584,2,0.0,0.0,0.0,0.0,0.3333333333333334
5152,35.03401360544217,6,0.0,0.0,0.3333333333333333,0.1428571428571428,0.0
8488,111.22448979591837,13,0.3333333333333333,0.25,0.3333333333333333,0.1428571428571429,0.33333333333333326
10272,52.38095238095238,20,0.0,0.0,0.3333333333333333,0.0,0.33333333333333326
15363,28.57142857142857,25,0.0,0.0,0.0,0.0,0.33333333333333326
20040,146.25850340136054,28,0.33333333333333326,0.25,0.6666666666666666,0.2857142857142857,0.33333333333333326
21288,105.61224489795917,45,0.3333333333333333,0.25,0.3333333333333333,0.0714285714285714,0.33333333333333326
23043,28.57142857142857,46,0.0,0.0,0.0,0.0,0.33333333333333326
27072,121.42857142857143,48,0.6666666666666667,0.25,0.6666666666666666,0.0,0.0
28378,103.2312925170068,51,0.0,0.25,0.6666666666666666,0.0714285714285714,0.3333333333333334
30912,80.27210884353741,54,0.0,0.25,0.6666666666666666,0.1428571428571428,0.0
35368,77.0408163265306,78,0.33333333333333326,0.25,0.3333333333333333,0.0714285714285714,0.0
35884,80.4421768707483,97,0.0,0.0,0.3333333333333333,0.3571428571428571,0.33333333333333326
38428,62.244897959183675,101,0.0,0.0,0.0,0.4285714285714286,0.33333333333333326
40996,63.60544217687074,107,0.0,0.0,0.3333333333333333,0.1428571428571428,0.33333333333333326
46208,177.55102040816325,132,0.0,0.25,1.0,0.7142857142857142,0.33333333333333326
48676,63.60544217687074,136,0.0,0.0,0.3333333333333333,0.1428571428571428,0.33333333333333326
51270,81.80272108843539,160,0.0,0.0,0.6666666666666666,0.0714285714285714,0.3333333333333334
55810,234.18367346938777,163,1.0,0.25,1.0,0.0714285714285714,0.6666666666666667
58634,211.2244897959184,183,1.0,0.25,1.0,0.1428571428571429,0.3333333333333334
58960,104.2517006802721,186,0.0,0.0,0.6666666666666666,0.357142857142857,0.33333333333333326
61443,28.57142857142857,188,0.0,0.0,0.0,0.0,0.33333333333333326
66096,111.22448979591836,191,0.33333333333333326,0.25,0.3333333333333333,0.1428571428571428,0.33333333333333326
66726,85.03401360544218,198,0.0,0.25,0.3333333333333333,0.1428571428571428,0.3333333333333334
69188,81.80272108843536,202,0.0,0.0,0.6666666666666666,0.0714285714285714,0.33333333333333326
71683,28.57142857142857,221,0.0,0.0,0.0,0.0,0.33333333333333326
74282,57.99319727891157,222,0.0,0.0,0.3333333333333333,0.0714285714285714,0.3333333333333334
76802,28.571428571428584,227,0.0,0.0,0.0,0.0,0.3333333333333334
81926,34.18367346938776,236,0.0,0.0,0.0,0.0714285714285714,0.3333333333333334
84520,57.99319727891156,247,0.0,0.0,0.3333333333333333,0.0714285714285714,0.33333333333333326
87088,57.99319727891156,252,0.0,0.0,0.3333333333333333,0.0714285714285714,0.33333333333333326
92163,28.57142857142857,258,0.0,0.0,0.0,0.0,0.33333333333333326
95544,77.0408163265306,259,0.3333333333333333,0.25,0.3333333333333333,0.0714285714285714,0.0
97283,28.57142857142857,267,0.0,0.0,0.0,0.0,0.33333333333333326
102028,124.82993197278911,268,0.6666666666666667,0.25,0.0,0.2857142857142857,0.33333333333333326
102402,28.571428571428584,277,0.0,0.0,0.0,0.0,0.3333333333333334
105140,101.87074829931974,280,0.0,0.25,0.3333333333333333,0.3571428571428572,0.33333333333333326
107570,57.99319727891157,291,0.0,0.0,0.3333333333333333,0.0714285714285714,0.3333333333333334
